VENDOR:,Quad Int'l Inc,,,,,,,,
,,,,,,,,,
AEBN: June 2025,Title,Total,PPM,Rental,Download,Studio,,,
,Put it in My Ass-MILF Anal,$13.36,$6.18,$5.39,$1.79,"PornMegaLoad, The Score Group",,,
,Cum On My Teen (18+) Face,$4.13,$2.98,$0.00,$1.15,"PornMegaLoad, The Score Group",,,
,40 Year Olds With 40 Inches Of Ass,$2.97,$0.44,$0.00,$2.53,"PornMegaLoad, The Score Group",,,
,Ass Fucked at 50,$1.40,$1.40,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,Black Cock Addicted MILFs,$1.24,$1.24,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,DP'ed Big Titty MILFs,$2.88,$1.01,$0.00,$1.87,"PornMegaLoad, The Score Group",,,
,GILFs Love Black Cock,$44.31,$31.73,$3.00,$9.59,"PornMegaLoad, The Score Group",,,
,Livin' The Fuckin' Life The Golden Years,$11.80,$9.23,$0.00,$2.58,"PornMegaLoad, The Score Group",,,
,MILFs Say Fuck My Ass,$10.09,$5.89,$0.00,$4.20,"PornMegaLoad, The Score Group",,,
,Divorced And Dying For Big Dick,$9.64,$4.73,$3.00,$1.91,"PornMegaLoad, The Score Group",,,
,Deep In My Ass Please,$8.32,$3.46,$3.00,$1.87,"PornMegaLoad, The Score Group",,,
,Over 50 Anal Fucking,$6.58,$2.78,$2.70,$1.11,"PornMegaLoad, The Score Group",,,
,DP'ed At 60,$5.99,$5.99,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,Cum Inside 50 Year Old Trophy Wives,$5.35,$4.42,$0.00,$0.93,"PornMegaLoad, The Score Group",,,
,Pussy Pierced MILFs And GILFs 2,$4.74,$2.85,$0.00,$1.89,"PornMegaLoad, The Score Group",,,
,Dirty Talking GILFs,$4.63,$4.63,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,Hiring The Help,$3.61,$3.61,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,Cock-Crazy Grannies,$3.47,$3.47,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,MILF Imports,$3.44,$0.75,$2.70,$0.00,"PornMegaLoad, The Score Group",,,
,Gigantic MILF Titties,$3.42,$0.93,$0.00,$2.49,"PornMegaLoad, The Score Group",,,
,Cum On Mommy's Face,$3.40,$0.71,$2.70,$0.00,"PornMegaLoad, The Score Group",,,
,MILFs Cuckoo For Cocoa Cock,$3.27,$3.27,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,My Grandma Does Anal,$3.09,$3.09,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,My Debut On Dick,$3.04,$0.34,$2.70,$0.00,"PornMegaLoad, The Score Group",,,
,Tanned Moms With Huge Tits,$2.87,$2.87,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,Bushes Of MILF,$2.71,$2.71,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,GILF Monster Tits,$2.66,$2.66,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,Fit And Fucked At 50,$2.48,$1.05,$0.00,$1.43,"PornMegaLoad, The Score Group",,,
,Ass Fucking 50 Year Olds,$2.47,$0.76,$0.00,$1.71,"PornMegaLoad, The Score Group",,,
,60 Year Old Anal Silver Foxes,$2.28,$2.28,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,DD MILFs DP'ed,$2.14,$1.00,$0.00,$1.14,"PornMegaLoad, The Score Group",,,
,Over The Hill Anal MILFs,$2.10,$2.10,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,Big Tit 50 Year Old Booty,$1.45,$1.45,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,Getting Sexier With Age,$0.72,$0.72,$0.00,$0.00,"PornMegaLoad, The Score Group",,,
,Total:,$186.05,,,,,,,
,,,,,,,,,
,,,,,,,,,
- Can run platform specific stats for specified time frame for one or multiple platforms.,,,,,,,,,
