,All Media Group,,,,,,,,,,,,,,,,,,,,,,,,
,Amy Lew (C.F.O / VP of Operations),,,,,,,,,,,,,,,,,,,,,,,,
,18819 Topham St,,,,,,,,,,,,,,,,,,,,,,,,
,"Tarzana, CA 91335",,,,,,,,,,,,,,,,,,,,,,,,
T,(818) 938-9026,,,,,,,,,,,,,,,,,,,,,,,,
F,(818) 855-1065,,,,,,,,,,,,,,,,,,,,,,,,
E,Gab@allmediagroup.tv,,,,,,,,,,,,,,,,,,,,,,,,
E,Amy@allmediagroup.tv,,,,,,,,,,,,,,,,,,,,,,,,
E,Nancy@allmediagroup.tv,,,,,,,,,,,,,,,,,,,,,,,,
W,http://allmediagroup.tv/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35% Royalty to AMG,,,$504.79,,,,,,,,,,,,,,,,,,
,06/01 ~ 06/30/2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Name : 2_AMG – 21 Sextury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Download Items,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,Item #,Title,Studio,Qty,Unit Price,Discount,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Streaming Items,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,Item #,Title,Studio,Qty,Unit Price,Discount,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,ST21S-07161_s3,My Lesbian Friends ~Scene 3,21 Sextury,1,$1.28 ,$0.00 ,$1.28 ,,,,,,,,,,,,,,,,,,
2,ST21S-0729209_s2,Their Little Secrets ~Scene 2,21 Sextury,1,$1.28 ,$0.00 ,$1.28 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,$2.56 ,$0.00 ,$2.56 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Name : 2_AMG - Cx Wow,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Download Items,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,Item #,Title,Studio,Qty,Unit Price,Discount,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,DLTPOV-0925241_s4,Trans Cuties POV ~ Scene 4,TS POV,1,$4.50 ,$0.00 ,$4.50 ,,,,,,,,,,,,,,,,,,
2,DLPRX-032624_s3,Crazy Hot MILFs 2 ~ Scene 3,Pure XXX,1,$5.00 ,$0.00 ,$5.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,$9.50 ,$0.00 ,$9.50 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Streaming Items,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,Item #,Title,Studio,Qty,Unit Price,Discount,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Name : 2_AMG - DDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Download Items,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,Item #,Title,Studio,Qty,Unit Price,Discount,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,DLDDFH-0310234_s2,Tempting Teens ~ Scene 2,DDF Hardcore,1,$4.50 ,$0.00 ,$4.50 ,,,,,,,,,,,,,,,,,,
