PAS Object_key,Abr.-Pos,PAS Provider ID,Description PPC,PAS Deal ID,Description ABO,ContProvAssetId,Title,Original Title,Label,Owner,Episode#,Season Title,Transaction,ContFormat,Platform usage,Rep. Startdate,Rep. Enddate,Transaction Date,Clearence Date,Quantity,NetPrice perU (SC),Sales Currency,Netsales (CC),Share,Price per Unit(RS) (CC),Price guarantee (CC),Price settled (CC),35%
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_10472,Amateur Teen Threesomes,Amateur Teen Threesomes,All Niche Productions,All Media Group,,,DST,HD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,12.03.2025,12.03.2025,1,8.39,EUR,8.39,0.20,1.68,0.00,0.13,0.05
1.00017E+11,140,10012150020Y,Premium-Inhalt,,,VEL_14067, Sexy MILF Mixer , Sexy MILF Mixer , All Niche Productions , All Media Group ,,,DST,HD,Eroticlounge Web,01.03.2025,31.03.2025,21.03.2025,21.03.2025,1,8.39,EUR,8.39,0.20,1.68,0.00,0.10,0.04
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Russian Teen Destruction , Russian Teen Destruction , Cutie Pie Productions , All Media Group ,,,PPC,HD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,07.03.2025,07.03.2025,1,5.87,EUR,5.87,0.20,1.17,0.00,0.12,0.04
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Teen Mania 2 , Teen Mania 2 , Cutie Pie Productions , All Media Group ,,,PPC,HD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,07.03.2025,07.03.2025,1,5.87,EUR,5.87,0.20,1.17,0.00,1.68,0.59
1.00017E+11,140,10012150020Y,Premium-Inhalt,,,VEL_14067, Teens Loving Teens , Teens Loving Teens , Cutie Pie Productions , All Media Group ,,,DST,HD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,29.03.2025,29.03.2025,1,8.39,EUR,8.39,0.20,1.68,0.00,0.13,0.05
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Young Massage Stories , Young Massage Stories , Cutie Pie Productions , All Media Group ,,,PPC,SD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,16.03.2025,16.03.2025,1,5.03,EUR,5.03,0.20,1.01,0.00,0.13,0.05
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Young Pussy Lovers , Young Pussy Lovers , Cutie Pie Productions , All Media Group ,,,PPC,SD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,28.03.2025,28.03.2025,1,5.03,EUR,5.03,0.20,1.01,0.00,1.17,0.41
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Big Tits 3 , Big Tits 3 , Desire Films , All Media Group ,,,DST,HD,Eroticlounge Web,01.03.2025,31.03.2025,17.03.2025,17.03.2025,1,8.39,EUR,8.39,0.20,1.68,0.00,1.01,0.35
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, SeXXXploitation Of Nicole Aniston , SeXXXploitation Of Nicole Aniston , Desire Films , All Media Group ,,,DST,HD,Eroticlounge Web,01.03.2025,31.03.2025,05.03.2025,05.03.2025,1,8.39,EUR,8.39,0.20,1.68,0.00,1.17,0.41
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Best Of Devil's Film , Best Of Devil's Film , Devil's Film , All Media Group ,,,PPC,HD,Eroticlounge Web,01.03.2025,31.03.2025,08.03.2025,08.03.2025,1,5.87,EUR,5.87,0.20,1.17,0.00,0.10,0.04
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Horny Grannies Love To Fuck 6 , Horny Grannies Love To Fuck 6 , Devil's Film , All Media Group ,,,PPC,SD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,21.03.2025,21.03.2025,1,5.03,EUR,5.03,0.20,1.01,0.00,1.68,0.59
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, My Gigantic Toys 20 , My Gigantic Toys 20 , Devil's Film , All Media Group ,,,DST,HD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,03.03.2025,03.03.2025,1,8.39,EUR,8.39,0.20,1.68,0.00,1.68,0.59
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, My Husband Brought Home His Mistress 6 , My Husband Brought Home His Mistress 6 , Devil's Film , All Media Group ,,,PPC,SD,Eroticlounge Web,01.03.2025,31.03.2025,21.03.2025,21.03.2025,1,5.03,EUR,5.03,0.20,1.01,0.00,0.10,0.04
1.00017E+11,140,10012150020Y,Premium-Inhalt,,,VEL_14067, The Destruction Of Bonnie Rotten , The Destruction Of Bonnie Rotten , Devil's Film , All Media Group ,,,DST,HD,Eroticlounge Web,01.03.2025,31.03.2025,21.03.2025,21.03.2025,1,8.39,EUR,8.39,0.20,1.68,0.00,1.01,0.35
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Granny Grabbers , Granny Grabbers , Eye Candy , All Media Group ,,,PPC,HD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,14.03.2025,14.03.2025,1,5.87,EUR,5.87,0.20,1.17,0.00,1.01,0.35
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Granny Love 2 , Granny Love 2 , Eye Candy , All Media Group ,,,PPC,SD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,04.03.2025,04.03.2025,1,5.03,EUR,5.03,0.20,1.01,0.00,0.13,0.05
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Granny Love 2 , Granny Love 2 , Eye Candy , All Media Group ,,,DST,HD,Eroticlounge Web,01.03.2025,31.03.2025,04.03.2025,04.03.2025,1,8.39,EUR,8.39,0.20,1.68,0.00,1.17,0.41
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Granny Love 2 , Granny Love 2 , Eye Candy , All Media Group ,,,PPC,SD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,04.03.2025,04.03.2025,1,5.03,EUR,5.03,0.20,1.01,0.00,1.01,0.35
1.00017E+11,130,1.00122E+11,Premium-Inhalt,,,VEL_14067, Granny Love 2 , Granny Love 2 , Eye Candy , All Media Group ,,,PPC,HD,Erotic Lounge EntertainTV STB,01.03.2025,31.03.2025,06.03.2025,06.03.2025,1,5.87,EUR,5.87,0.20,1.17,0.00,0.13,0.05
