Title,Label,Owner,Total Sales,Total Sale net vat,Payout percentage, Payout ,35%,,,,,,,,,,,,,,,,,,
Daddy Please 9,Bad Daddy POV,All Media Group,1,€ 4.97,2500%, € 1.24 , € 0.43 ,,,,,,,,,,,,,,,,,,
Stay at Home Step Mommy 3,Bad Daddy POV,All Media Group,3,€ 24.41,2500%, € 6.10 , € 2.14 ,,,,,,,,,,,,,,,,,,
Young massage stories,Cutie Pie Productions,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
Immoral Massage,Cutie Pie Productions,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
Big Tittied Starlets 3,Desire Films,All Media Group,2,€ 4.25,2500%, € 1.06 , € 0.37 ,,,,,,,,,,,,,,,,,,
Big tit pussy power,Desire Films,All Media Group,1,€ 1.48,2500%, € 0.37 , € 0.13 ,,,,,,,,,,,,,,,,,,
Golden Girls,Eye Candy,All Media Group,1,€ 3.97,2500%, € 0.99 , € 0.35 ,,,,,,,,,,,,,,,,,,
Red Hot and Grey 2,Eye Candy,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
Old Pussy 4,Eye Candy,All Media Group,2,€ 4.25,2500%, € 1.06 , € 0.37 ,,,,,,,,,,,,,,,,,,
Older Lover 2,Eye Candy,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
Beautiful Threesome,Good Porn Productions,All Media Group,3,€ 8.16,2500%, € 2.04 , € 0.71 ,,,,,,,,,,,,,,,,,,
Sweet Sexy Teens,Good Porn Productions,All Media Group,1,€ 2.49,2500%, € 0.62 , € 0.22 ,,,,,,,,,,,,,,,,,,
My First DP,Good Porn Productions,All Media Group,14,€ 36.20,2500%, € 9.05 , € 3.17 ,,,,,,,,,,,,,,,,,,
Hot Blonde Teens,Good Porn Productions,All Media Group,3,€ 9.93,2500%, € 2.49 , € 0.87 ,,,,,,,,,,,,,,,,,,
Teen Anal Sexperts 6,Good Porn Productions,All Media Group,1,€ 6.74,2500%, € 1.69 , € 0.59 ,,,,,,,,,,,,,,,,,,
Mature Outlook 3,Hard Art,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
A Miss for a Mrs,Holly Randall,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
4 On 1 : O My God,Legal Porno,All Media Group,1,€ 4.97,2500%, € 1.24 , € 0.43 ,,,,,,,,,,,,,,,,,,
Teen Japanese Gangbang,Mr. Makamoto,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
Teen Massage Parlor 2,My Peach Productions,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
Mega Titty MILFs,Porn Mega Load,All Media Group,3,€ 14.90,2500%, € 3.72 , € 1.30 ,,,,,,,,,,,,,,,,,,
Cum On My Teen Face,Porn Mega Load,All Media Group,1,€ 2.24,2500%, € 0.56 , € 0.20 ,,,,,,,,,,,,,,,,,,
Big Tit 40+ MILFs,Porn Mega Load,All Media Group,4,€ 14.18,2500%, € 3.54 , € 1.24 ,,,,,,,,,,,,,,,,,,
Fit & Fucked at 50!,Porn Mega Load,All Media Group,2,€ 7.09,2500%, € 1.77 , € 0.62 ,,,,,,,,,,,,,,,,,,
55+ Anal Busty Gilfs,Porn Mega Load,All Media Group,2,€ 7.45,2500%, € 1.86 , € 0.65 ,,,,,,,,,,,,,,,,,,
Come Help Your Mother,Porn Mega Load,All Media Group,1,€ 4.97,2500%, € 1.24 , € 0.43 ,,,,,,,,,,,,,,,,,,
Cum On Mommy's Face!,Porn Mega Load,All Media Group,2,€ 7.09,2500%, € 1.77 , € 0.62 ,,,,,,,,,,,,,,,,,,
DP Granny!,Porn Mega Load,All Media Group,2,€ 4.61,2500%, € 1.15 , € 0.40 ,,,,,,,,,,,,,,,,,,
Ass Fucking 50 Year Olds,Porn Mega Load,All Media Group,8,€ 22.73,2500%, € 5.68 , € 1.99 ,,,,,,,,,,,,,,,,,,
Big Tit 50 Year Old Booty,Porn Mega Load,All Media Group,1,€ 4.97,2500%, € 1.24 , € 0.43 ,,,,,,,,,,,,,,,,,,
60+ Anal Fucking,Porn Mega Load,All Media Group,1,€ 2.49,2500%, € 0.62 , € 0.22 ,,,,,,,,,,,,,,,,,,
Porn Debut at 50!,Porn Mega Load,All Media Group,1,€ 4.97,2500%, € 1.24 , € 0.43 ,,,,,,,,,,,,,,,,,,
Fucking My Son's Friend 2,Porn Mega Load,All Media Group,4,€ 17.02,2500%, € 4.25 , € 1.49 ,,,,,,,,,,,,,,,,,,
Ass Fucked At 60!,Porn Mega Load,All Media Group,4,€ 8.16,2500%, € 2.04 , € 0.71 ,,,,,,,,,,,,,,,,,,
Bushes On MILFs,Porn Mega Load,All Media Group,2,€ 7.09,2500%, € 1.77 , € 0.62 ,,,,,,,,,,,,,,,,,,
60 Year Old Anal Silver Foxes,Porn Mega Load,All Media Group,3,€ 4.62,2500%, € 1.15 , € 0.40 ,,,,,,,,,,,,,,,,,,
MILF Facials,Porn Mega Load,All Media Group,2,€ 9.93,2500%, € 2.48 , € 0.87 ,,,,,,,,,,,,,,,,,,
50 Year Old Anal Loving GILFS,Porn Mega Load,All Media Group,1,€ 2.49,2500%, € 0.62 , € 0.22 ,,,,,,,,,,,,,,,,,,
Ass Fucked Big Tit Moms,Porn Mega Load,All Media Group,2,€ 3.56,2500%, € 0.89 , € 0.31 ,,,,,,,,,,,,,,,,,,
My Grandma Does Anal,Porn Mega Load,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
Big Cock for Granny,Porn Mega Load,All Media Group,2,€ 4.25,2500%, € 1.06 , € 0.37 ,,,,,,,,,,,,,,,,,,
"Bushy, Big-Titted MILFs",Porn Mega Load,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
MILFs With Ass!,Porn Mega Load,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
DP'ed at 60!,Porn Mega Load,All Media Group,1,€ 1.07,2500%, € 0.27 , € 0.09 ,,,,,,,,,,,,,,,,,,
Older Whores 2,Pure Pleasures,All Media Group,3,€ 11.71,2500%, € 2.93 , € 1.03 ,,,,,,,,,,,,,,,,,,
Moms Get That Dick #2,Pure Pleasures,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
