Item ID,Title,Entity,Studio,Total,PPM,Rental,Download,Stream for Life,Scenes,Unlimited
4575656,2 Pussies for 1 Tongue,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.29,$0.07,$0.00,$0.00,$0.00,$0.97,$0.25
4524467,2 Teens Double Fun,"All Media Group, LLC",G.O.O.D. Porn Productions,$3.08,$0.00,$0.00,$0.00,$1.48,$0.00,$1.60
3066935,9 to 5 Fucking,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.48,$0.07,$0.00,$0.00,$0.00,$0.00,$0.41
3095371,Afternoon Threesomes,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.37,$0.07,$0.00,$0.00,$0.00,$0.00,$1.30
3303339,Afternoon Threesomes Volume 2,"All Media Group, LLC",G.O.O.D. Porn Productions,$2.25,$0.00,$0.00,$0.00,$0.00,$1.57,$0.68
3321742,Anal Delight,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.60,$0.00,$0.00,$0.00,$0.00,$1.57,$0.02
3128513,Anal Virgins,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.33,$0.21,$0.00,$0.00,$0.00,$0.00,$0.12
4517574,Ass Loving College Cuties,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.15,$0.00,$0.00,$0.00,$0.00,$0.82,$0.33
4570165,Back in the Butt,"All Media Group, LLC",G.O.O.D. Porn Productions,$4.40,$0.21,$0.00,$0.00,$0.00,$2.39,$1.80
2643537,Barely 18 Initiations,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.77,$0.04,$0.00,$0.00,$0.00,$1.57,$0.17
4796425,Beautiful Threesome,"All Media Group, LLC",G.O.O.D. Porn Productions,$2.55,$0.21,$0.00,$0.00,$1.65,$0.00,$0.69
3303331,Big Tittied Teens,"All Media Group, LLC",G.O.O.D. Porn Productions,$2.79,$0.21,$0.00,$0.00,$0.00,$1.63,$0.95
3553187,Blonde Teen Temptation,"All Media Group, LLC",G.O.O.D. Porn Productions,$3.13,$1.53,$0.00,$0.00,$0.00,$1.57,$0.02
4600398,Blondie Wants Dick,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.14,$0.00,$0.00,$0.00,$0.00,$0.00,$0.14
2643516,Blowing the Boss,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.05,$0.04,$0.00,$0.00,$0.00,$0.00,$0.01
3242791,Born To Flirt,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.23,$0.07,$0.00,$0.00,$0.00,$0.00,$0.16
